region,pollster,rating,median_date,Liberal,Conservative,NDP,Green,Bloc,People's,lead
MB/SK,EKOS,,2021-08-18,28,40,19,3,,7,CPC +12
MB/SK,EKOS,,2021-08-17,29,42,22,0,,5,CPC +13
MB/SK,Counsel Public Affairs,,2021-08-17,18,46,22,3,,,CPC +24
MB/SK,Angus Reid,,2021-08-16,19,44,24,2,,5,CPC +20
MB/SK,EKOS,,2021-08-15,29,45,15,0,,7,CPC +16
MB/SK,Ipsos,,2021-08-15,23,46,24,6,,,CPC +22
MB/SK,Forum Research,,2021-08-15,20,40,24,5,,4,CPC +16
MB/SK,Léger,,2021-08-12,31,44,20,1,,3,CPC +13
MB/SK,Mainstreet Research,,2021-08-11,25,49,18,3,,,CPC +24
MB/SK,Angus Reid,,2021-08-09,23,49,20,1,,3,CPC +26
MB/SK,Abacus Data,,2021-08-09,31,36,20,5,,4,CPC +5
MB/SK,Angus Reid,,2021-08-01,23,45,22,1,,4,CPC +22
MB/SK,Abacus Data,,2021-07-31,31,35,22,4,,2,CPC +4
MB/SK,Léger,,2021-07-31,24,37,26,5,,5,CPC +11
MB/SK,Angus Reid,,2021-07-25,22,44,25,0,,3,CPC +19
MB/SK,Mainstreet Research,,2021-07-25,33,39,29,3,,,CPC +6
MB/SK,Ipsos,,2021-07-20,21,41,24,3,,8,CPC +17
MB/SK,EKOS,,2021-07-18,23,40,23,6,,5,CPC +17
MB/SK,Léger,,2021-07-17,27,39,27,2,,4,CPC +12
MB/SK,Angus Reid,,2021-07-15,22,46,18,1,,5,CPC +24
MB/SK,Léger,,2021-07-02,27,50,16,5,,3,CPC +23
MB/SK,Abacus Data,,2021-06-29,26,38,27,5,,1,CPC +11
MB/SK,Ipsos,,2021-06-20,25,43,23,7,,,CPC +18
MB/SK,Abacus Data,,2021-06-20,34,33,25,5,,1,LPC +1
MB/SK,Léger,,2021-06-19,19,47,22,5,,,CPC +25
MB/SK,Research Co.,,2021-06-13,23,50,24,1,,1,CPC +26
MB/SK,Mainstreet Research,,2021-06-13,28,34,23,5,,,CPC +6
MB/SK,Abacus Data,,2021-06-13,17,44,32,3,,3,CPC +12
MB/SK,EKOS,,2021-06-11,23,29,29,8,,6,Tie
MB/SK,Léger,,2021-06-05,22,45,17,8,,,CPC +23
MB/SK,Angus Reid,,2021-06-05,22,46,22,2,,,CPC +24
MB/SK,Counsel Public Affairs,,2021-06-03,24,43,22,4,,,CPC +19
MB/SK,Abacus Data,,2021-05-27,19,40,19,7,,7,CPC +21
MB/SK,Mainstreet Research,,2021-05-22,15,56,20,6,,,CPC +36
MB/SK,Léger,,2021-05-22,25,36,23,9,,,CPC +11
MB/SK,Innovative Research,,2021-05-20,28,42,17,6,,,CPC +14
MB/SK,Angus Reid,,2021-05-16,19,46,26,2,,,CPC +20
MB/SK,Léger,,2021-05-15,21,39,23,6,,,CPC +16
MB/SK,Ipsos,,2021-05-13,28,39,26,7,,,CPC +11
MB/SK,Abacus Data,,2021-05-10,19,50,27,0,,,CPC +23
MB/SK,Léger,,2021-05-08,29,44,19,6,,,CPC +15
MB/SK,Innovative Research,,2021-04-30,34,37,23,2,,,CPC +3
MB/SK,Léger,,2021-04-24,28,26,39,2,,,NDP +11
MB/SK,Angus Reid,,2021-04-23,24,47,21,3,,,CPC +23
MB/SK,Abacus Data,,2021-04-23,25,50,21,1,,,CPC +25
MB/SK,Ipsos,,2021-04-21,29,40,22,6,,,CPC +11
MB/SK,Abacus Data,,2021-04-19,21,43,26,6,,,CPC +17
MB/SK,Mainstreet Research,,2021-04-18,27,54,9,5,,,CPC +27
MB/SK,Abacus Data,,2021-04-12,17,52,25,5,,0,CPC +27
MB/SK,Léger,,2021-04-10,34,38,20,4,,,CPC +4
MB/SK,Ipsos,,2021-04-08,23,48,17,5,,,CPC +25
MB/SK,Innovative Research,,2021-04-08,31,34,22,4,,,CPC +3
MB/SK,Campaign Research,,2021-04-07,28,48,14,8,,,CPC +20
MB/SK,Stratcom,,2021-04-02,25,47,17,5,,,CPC +22
MB/SK,Abacus Data,,2021-03-28,23,50,22,5,,0,CPC +27
MB/SK,Léger,,2021-03-27,27,41,27,4,,,CPC +14
MB/SK,Mainstreet Research,,2021-03-22,23,50,17,5,,,CPC +27
MB/SK,Abacus Data,,2021-03-15,21,45,27,2,,4,CPC +18
MB/SK,Research Co.,,2021-03-13,24,41,26,5,,2,CPC +15
MB/SK,Léger,,2021-03-13,31,49,12,3,,,CPC +18
MB/SK,Abacus Data,,2021-03-04,25,48,25,2,,,CPC +23
MB/SK,Ipsos,,2021-03-03,23,41,27,3,,,CPC +14
MB/SK,Angus Reid,,2021-03-01,22,49,19,3,,,CPC +27
MB/SK,Léger,,2021-02-27,31,37,25,4,,,CPC +6
MB/SK,Mainstreet Research,,2021-02-24,24,50,9,11,,,CPC +26
MB/SK,Angus Reid,,2021-02-15,20,50,22,2,,,CPC +28
MB/SK,Léger,,2021-02-13,26,42,28,2,,,CPC +14
MB/SK,Ipsos,,2021-02-09,28,37,31,6,,,CPC +6
MB/SK,Abacus Data,,2021-02-01,26,51,20,1,,1,CPC +25
MB/SK,Léger,,2021-01-30,28,40,29,3,,,CPC +11
MB/SK,Campaign Research,,2021-01-29,27,43,24,4,,,CPC +16
MB/SK,Angus Reid,,2021-01-22,18,20,22,3,,,NDP +2
MB/SK,Mainstreet Research,,2021-01-20,25,52,18,1,,2,CPC +27
MB/SK,Innovative Research,,2021-01-20,26,41,22,5,,,CPC +15
MB/SK,Léger,,2021-01-16,29,46,24,2,,,CPC +17
MB/SK,EKOS,,2021-01-16,27,44,16,6,,5,CPC +17
MB/SK,Abacus Data,,2021-01-10,19,46,24,3,,5,CPC +22
MB/SK,Ipsos,,2021-01-06,34,40,23,3,,,CPC +6
MB/SK,Léger,,2021-01-01,29,43,25,1,,,CPC +14
MB/SK,Abacus Data,,2020-12-16,18,52,24,6,,0,CPC +28
MB/SK,Research Co.,,2020-12-13,26,48,20,2,,2,CPC +22
MB/SK,Ipsos,,2020-12-13,26,54,13,3,,,CPC +28
MB/SK,Léger,,2020-12-12,20,42,29,4,,,CPC +13
MB/SK,Campaign Research,,2020-12-02,22,48,24,3,,,CPC +24
MB/SK,Léger,,2020-11-28,23,44,26,5,,,CPC +18
MB/SK,Angus Reid,,2020-11-27,20,50,22,3,,,CPC +28
MB/SK,Mainstreet Research,,2020-11-25,27,48,14,7,,2,CPC +21
MB/SK,Ipsos,,2020-11-22,22,52,18,4,,,CPC +30
MB/SK,Abacus Data,,2020-11-21,22,49,22,4,,2,CPC +27
MB/SK,EKOS,,2020-11-20,30,43,16,4,,5,CPC +13
MB/SK,Léger,,2020-11-14,26,49,12,7,,,CPC +23
MB/SK,Abacus Data,,2020-11-09,33,37,24,1,,0,CPC +4
MB/SK,Léger,,2020-11-07,24,44,22,8,,,CPC +20
MB/SK,Angus Reid,,2020-11-07,21,53,21,2,,,CPC +32
MB/SK,Léger,,2020-10-31,36,38,19,2,,,CPC +2
MB/SK,Ipsos,,2020-10-25,32,39,25,4,,,CPC +7
MB/SK,Léger,,2020-10-24,22,57,17,3,,,CPC +35
MB/SK,Mainstreet Research,,2020-10-21,26,47,21,1,,4,CPC +21
MB/SK,EKOS,,2020-10-18,30,36,17,6,,8,CPC +6
MB/SK,Léger,,2020-10-17,31,37,24,4,,,CPC +6
MB/SK,Léger,,2020-10-10,22,36,35,5,,,CPC +1
MB/SK,Léger,,2020-10-03,31,50,15,3,,,CPC +19
MB/SK,Léger,,2020-09-26,35,43,15,5,,,CPC +8
MB/SK,Abacus Data,,2020-09-26,27,44,15,2,,,CPC +17
MB/SK,Mainstreet Research,,2020-09-23,28,43,18,5,,1,CPC +15
MB/SK,Abacus Data,,2020-09-20,23,50,14,5,,,CPC +27
MB/SK,Léger,,2020-09-19,37,30,29,2,,,LPC +7
MB/SK,Ipsos,,2020-09-13,21,50,26,3,,,CPC +24
MB/SK,Campaign Research,,2020-09-13,35,45,16,4,,,CPC +10
MB/SK,Research Co.,,2020-09-12,33,45,15,6,,1,CPC +12
MB/SK,Léger,,2020-09-12,28,42,23,3,,,CPC +14
MB/SK,Innovative Research,,2020-09-10,30,41,13,13,,,CPC +11
MB/SK,Léger,,2020-09-05,18,53,22,3,,,CPC +31
MB/SK,Abacus Data,,2020-09-01,24,48,20,3,,1,CPC +24
MB/SK,Angus Reid,,2020-08-30,22,52,20,2,,,CPC +30
MB/SK,Léger,,2020-08-29,25,42,29,4,,,CPC +13
MB/SK,Léger,,2020-08-22,25,47,20,7,,,CPC +22
MB/SK,Innovative Research,,2020-08-22,31,45,13,5,,,CPC +14
MB/SK,Ipsos,,2020-08-18,22,45,21,8,,,CPC +23
MB/SK,Abacus Data,,2020-08-17,31,36,24,2,,0,CPC +5
MB/SK,Léger,,2020-08-15,27,53,12,4,,,CPC +26
MB/SK,Innovative Research,,2020-08-13,36,48,12,3,,,CPC +12
MB/SK,Campaign Research,,2020-08-12,21,43,24,8,,,CPC +19
MB/SK,Léger,,2020-08-08,29,45,16,7,,,CPC +16
MB/SK,Léger,,2020-08-01,17,55,20,2,,,CPC +35
MB/SK,Abacus Data,,2020-07-28,26,46,22,4,,2,CPC +20
MB/SK,Léger,,2020-07-25,26,47,18,8,,,CPC +21
MB/SK,EKOS,,2020-07-20,19,49,19,2,,7,CPC +30
MB/SK,Léger,,2020-07-18,22,48,23,6,,,CPC +25
MB/SK,Innovative Research,,2020-07-17,34,43,12,4,,,CPC +9
MB/SK,Abacus Data,,2020-07-15,36,39,17,6,,,CPC +3
MB/SK,Léger,,2020-07-11,21,40,34,4,,,CPC +6
MB/SK,Léger,,2020-07-04,25,39,26,8,,,CPC +13
MB/SK,Léger,,2020-06-28,32,40,18,7,,,CPC +8
MB/SK,Mainstreet Research,,2020-06-26,30,44,18,4,,1,CPC +14
MB/SK,Léger,,2020-06-20,30,47,13,5,,,CPC +17
MB/SK,Abacus Data,,2020-06-17,28,41,18,7,,2,CPC +13
MB/SK,EKOS,,2020-06-14,35,44,3,4,,3,CPC +9
MB/SK,Léger,,2020-06-13,27,31,20,13,,,CPC +4
MB/SK,Abacus Data,,2020-06-09,29,35,26,5,,,CPC +6
MB/SK,Léger,,2020-06-06,22,50,15,8,,,CPC +28
MB/SK,Léger,,2020-05-30,32,35,13,13,,,CPC +3
MB/SK,Abacus Data,,2020-05-28,32,39,16,9,,,CPC +7
MB/SK,Léger,,2020-05-24,36,36,18,7,,,Tie
MB/SK,Angus Reid,,2020-05-22,23,47,20,5,,,CPC +24
MB/SK,Léger,,2020-05-16,34,41,15,8,,1,CPC +7
MB/SK,Abacus Data,,2020-05-16,27,48,15,7,,,CPC +21
MB/SK,Léger,,2020-05-09,26,44,19,11,,,CPC +18
MB/SK,Mainstreet Research,,2020-05-07,30,47,20,3,,0,CPC +17
MB/SK,EKOS,,2020-05-04,34,44,14,4,,4,CPC +10
MB/SK,Innovative Research,,2020-05-03,34,36,17,8,,,CPC +2
MB/SK,Research Co.,,2020-05-02,28,38,23,9,,1,CPC +10
MB/SK,Léger,,2020-05-02,32,43,15,7,,,CPC +11
MB/SK,Léger,,2020-04-25,31,48,17,5,,,CPC +17
MB/SK,Abacus Data,,2020-04-22,29,38,19,10,,,CPC +9
MB/SK,Angus Reid,,2020-04-16,20,47,16,2,,2,CPC +1
MB/SK,Léger,,2020-04-11,33,48,11,6,,,CPC +15
MB/SK,Innovative Research,,2020-04-01,32,32,16,7,,2,Tie
MB/SK,EKOS,,2020-03-23,35,44,15,2,,4,CPC +9
MB/SK,Mainstreet Research,,2020-03-17,28,52,14,2,,4,CPC +24
MB/SK,Léger,,2020-03-01,23,46,24,5,,0,CPC +22
MB/SK,Angus Reid,,2020-02-26,14,54,24,6,,0,CPC +30
MB/SK,Campaign Research,,2020-02-25,26,46,26,1,,,CPC +20
MB/SK,Léger,,2020-01-30,24,52,18,4,,,CPC +28
MB/SK,Léger,,2020-01-19,25,51,17,6,,,CPC +26
MB/SK,Mainstreet Research,,2020-01-17,23,52,11,9,,6,CPC +29
MB/SK,Abacus Data,,2020-01-17,17,41,25,10,,7,CPC +16
MB/SK,Léger,,2020-01-05,18,58,14,8,,,CPC +40
MB/SK,Abacus Data,,2019-12-14,30,37,18,8,,,CPC +7
MB/SK,Angus Reid,,2019-12-13,16,53,22,6,,,CPC +31
MB/SK,EKOS,,2019-12-07,19,55,15,8,,2,CPC +36
MB/SK,Léger,,2019-11-21,28,38,22,8,,4,CPC +10
